rouge1_f,rouge2_f,rougeL_f,latency_sec,compression_ratio,repetition_rate,top_k
0.5585585585585586,0.1651376146788991,0.3243243243243243,0.0005002999969292432,0.10027347310847767,0.0,2
0.43478260869565216,0.08955223880597016,0.2898550724637681,0.00014560000272467732,0.13541666666666666,0.0,2
0.30973451327433627,0.1875,0.24778761061946905,0.00019099999917671084,0.50355871886121,0.039215686274509776,2
0.5471698113207547,0.19230769230769232,0.2830188679245283,0.00015950000670272857,0.244173140954495,0.0,2
0.20512820512820512,0.052631578947368425,0.12820512820512822,0.001076799992006272,0.005948334466349422,0.0,2
0.5732484076433121,0.12903225806451613,0.267515923566879,0.0008211999956984073,0.08993327531186539,0.016393442622950838,2
0.46341463414634143,0.2,0.29268292682926833,0.00042219999886583537,0.047619047619047616,0.0,2
0.4958677685950413,0.06722689075630252,0.24793388429752064,0.0005830000009154901,0.059076923076923075,0.0,2
0.4901960784313726,0.02,0.21568627450980393,0.0003220000071451068,0.10017678255745432,0.0,2
0.574712643678161,0.07058823529411765,0.2758620689655173,0.0005278999888105318,0.04919678714859438,0.0,2
0.5764705882352942,0.22619047619047622,0.31764705882352945,0.00036109999928157777,0.17018072289156627,0.0,2
0.5777777777777778,0.15909090909090912,0.2888888888888889,0.00019579999207053334,0.13636363636363635,0.0,2
0.5378151260504203,0.06837606837606837,0.2857142857142857,0.0006390000053215772,0.04082207207207207,0.0,2
0.35680751173708913,0.13270142180094788,0.22535211267605632,0.0006517000001622364,0.14905450500556172,0.06666666666666665,2
0.6,0.11363636363636363,0.33333333333333337,0.0008462999976472929,0.021507498026835044,0.0,2
0.6792452830188679,0.25,0.32075471698113206,0.00021699999342672527,0.13261648745519714,0.0,2
0.5529411764705882,0.08333333333333333,0.2588235294117647,0.0004931000003125519,0.11980609418282548,0.03614457831325302,2
0.512396694214876,0.10833333333333332,0.24793388429752067,0.0002562000008765608,0.35895676046671243,0.09782608695652173,2
0.4383561643835616,0.08450704225352113,0.2191780821917808,0.00025009999808389693,0.07056936647955092,0.0,2
0.6966292134831461,0.5517241379310344,0.6067415730337078,0.00022060000628698617,0.12404580152671756,0.0,2
